Date,Open,High,Low,Close,Volume
2024-06-18 19:51:00,322.0,322.0,322.0,322.0,0
2024-06-18 19:30:00,319.41,319.41,319.41,319.41,68
2024-06-18 19:29:00,319.5,319.5,319.5,319.5,97
2024-06-18 19:00:00,319.85,319.85,319.85,319.85,99736
2024-06-18 18:34:00,319.4,319.4,319.4,319.4,0
2024-06-18 18:32:00,319.83,319.83,319.83,319.83,24
2024-06-18 18:30:00,319.85,319.85,319.85,319.85,99736
2024-06-18 18:23:00,319.82,319.82,319.82,319.82,2
2024-06-18 18:07:00,319.9,319.9,319.9,319.9,2
2024-06-18 17:55:00,320.4,320.4,320.4,320.4,2
2024-06-18 17:48:00,320.88,320.88,320.88,320.88,0
2024-06-18 17:47:00,320.88,320.88,320.88,320.88,19
2024-06-18 17:46:00,320.409,320.409,320.409,320.409,48
2024-06-18 17:35:00,319.86,319.9,319.86,319.9,7
2024-06-18 17:34:00,320.0,320.0,320.0,320.0,8
2024-06-18 17:14:00,320.0,320.0,320.0,320.0,4
2024-06-18 17:11:00,320.5,320.5,320.5,320.5,4
2024-06-18 17:10:00,320.0,320.0,320.0,320.0,14
2024-06-18 17:02:00,320.0,320.0,320.0,320.0,48
2024-06-18 17:00:00,319.85,319.85,319.85,319.85,27205
2024-06-18 16:50:00,320.0,320.0,320.0,320.0,3
2024-06-18 16:36:00,319.85,319.85,319.85,319.85,81
2024-06-18 16:24:00,319.85,319.85,319.85,319.85,1819
2024-06-18 16:19:00,315.341,315.341,315.341,315.341,12
2024-06-18 16:16:00,322.72,322.72,322.72,322.72,0
2024-06-18 16:15:00,320.0,320.0,320.0,320.0,0
2024-06-18 16:10:00,319.85,319.85,319.85,319.85,99736
2024-06-18 16:06:00,320.0,320.0,320.0,320.0,1
2024-06-18 16:04:00,320.0,320.0,320.0,320.0,0
2024-06-18 16:02:00,319.85,319.85,319.839,319.85,2718
2024-06-18 16:01:00,319.85,319.85,319.85,319.85,356
2024-06-18 16:00:00,320.03,320.03,319.85,319.85,235652
2024-06-18 15:59:00,320.21,320.25,319.6,319.87,39125
2024-06-18 15:58:00,319.99,320.3,319.96,320.3,16595
2024-06-18 15:57:00,319.85,320.01,319.76,319.925,20308
2024-06-18 15:56:00,319.75,320.09,319.515,319.93,16795
2024-06-18 15:55:00,320.775,320.87,319.83,319.83,29362
2024-06-18 15:54:00,320.13,320.94,320.09,320.94,14357
2024-06-18 15:53:00,320.08,320.14,319.9,319.96,5686
2024-06-18 15:52:00,319.85,320.33,319.835,320.3,12412
2024-06-18 15:51:00,319.76,320.1,319.75,319.85,15439
2024-06-18 15:50:00,319.485,319.96,319.485,319.94,6817
2024-06-18 15:49:00,319.04,319.6,318.98,319.475,11072
2024-06-18 15:48:00,319.165,319.305,319.02,319.22,2425
2024-06-18 15:47:00,319.38,319.4,319.16,319.33,6115
2024-06-18 15:46:00,319.75,319.76,319.22,319.385,10229
2024-06-18 15:45:00,320.01,320.01,319.5,319.58,6789
2024-06-18 15:44:00,319.2,320.11,319.09,320.0,43363
2024-06-18 15:43:00,318.76,319.17,318.75,319.17,6604
2024-06-18 15:42:00,318.28,318.8,318.26,318.8,4524
2024-06-18 15:41:00,318.0,318.56,317.89,318.56,6149
2024-06-18 15:40:00,317.8,317.8,317.8,317.8,1230
2024-06-18 15:39:00,317.39,317.7,317.29,317.59,8281
2024-06-18 15:38:00,317.19,317.27,317.19,317.27,2381
2024-06-18 15:37:00,316.955,317.14,316.955,317.11,1527
2024-06-18 15:36:00,317.03,317.03,316.955,316.955,1753
2024-06-18 15:35:00,317.005,317.005,316.75,316.975,3461
2024-06-18 15:34:00,317.16,317.16,316.93,316.94,1758
2024-06-18 15:33:00,317.16,317.16,317.16,317.16,599
2024-06-18 15:32:00,316.87,317.16,316.87,317.16,2530
2024-06-18 15:31:00,316.59,316.755,316.58,316.632,5186
2024-06-18 15:30:00,316.585,316.86,316.58,316.76,5518
2024-06-18 15:29:00,316.185,316.55,315.81,316.55,9621
2024-06-18 15:28:00,315.88,316.24,315.88,316.24,970
2024-06-18 15:27:00,315.83,316.25,315.83,316.25,670
2024-06-18 15:26:00,315.955,316.15,315.9,316.14,1388
2024-06-18 15:25:00,315.535,315.96,315.535,315.955,4240
2024-06-18 15:24:00,315.5,315.57,315.31,315.57,971
2024-06-18 15:23:00,315.54,315.54,315.54,315.54,839
2024-06-18 15:22:00,315.6,315.6,315.555,315.56,716
2024-06-18 15:21:00,315.6,315.6,315.6,315.6,455
2024-06-18 15:20:00,315.915,315.915,315.65,315.765,3037
2024-06-18 15:18:00,315.95,315.95,315.81,315.81,1312
2024-06-18 15:17:00,315.835,315.87,315.835,315.84,1664
2024-06-18 15:16:00,316.06,316.06,315.835,315.835,722
2024-06-18 15:15:00,315.765,315.94,315.765,315.94,449
2024-06-18 15:14:00,315.55,316.03,315.55,315.58,2606
2024-06-18 15:13:00,316.77,316.77,315.03,315.66,13111
2024-06-18 15:12:00,316.775,316.795,316.775,316.795,337
2024-06-18 15:11:00,317.02,317.16,316.66,316.93,3386
2024-06-18 15:10:00,316.965,317.16,316.965,317.16,869
2024-06-18 15:09:00,316.975,317.0,316.89,317.0,3150
2024-06-18 15:08:00,316.96,317.13,316.96,316.975,1032
2024-06-18 15:07:00,317.14,317.29,316.83,317.015,5847
2024-06-18 15:06:00,317.145,317.28,317.12,317.28,825
2024-06-18 15:05:00,317.0,317.445,316.75,317.3,2045
2024-06-18 15:04:00,317.127,317.127,317.08,317.08,1176
2024-06-18 15:03:00,316.65,316.93,316.65,316.915,1846
2024-06-18 15:02:00,316.655,316.655,316.44,316.44,414
2024-06-18 15:01:00,317.44,317.64,316.9,316.91,7753
2024-06-18 15:00:00,317.24,317.42,317.24,317.42,1006
2024-06-18 14:59:00,317.36,317.62,317.31,317.62,2152
2024-06-18 14:57:00,317.0,317.34,316.78,317.34,5480
2024-06-18 14:56:00,317.34,317.34,317.055,317.055,464
2024-06-18 14:54:00,317.525,317.525,316.97,317.34,3656
2024-06-18 14:53:00,317.89,317.89,317.41,317.43,11941
2024-06-18 14:52:00,317.52,317.53,317.3,317.42,1925
2024-06-18 14:51:00,316.885,317.3,316.65,317.3,5295
2024-06-18 14:50:00,316.94,316.96,316.88,316.88,1904
2024-06-18 14:49:00,316.65,316.95,316.46,316.95,3153
2024-06-18 14:48:00,316.21,316.76,316.21,316.71,8900
2024-06-18 14:47:00,316.19,316.19,316.19,316.19,238
2024-06-18 14:45:00,316.025,316.22,316.0,316.0,3022
2024-06-18 14:44:00,315.75,316.155,315.75,316.155,3946
2024-06-18 14:43:00,315.625,315.625,315.625,315.625,395
2024-06-18 14:42:00,315.53,315.53,315.07,315.07,957
2024-06-18 14:41:00,315.02,315.33,315.02,315.33,868
2024-06-18 14:40:00,314.899,315.11,314.899,315.11,740
2024-06-18 14:39:00,314.87,315.02,314.87,315.02,2352
2024-06-18 14:38:00,314.19,314.19,314.19,314.19,1053
2024-06-18 14:37:00,314.66,314.66,314.66,314.66,396
2024-06-18 14:36:00,314.19,314.64,314.19,314.64,455
2024-06-18 14:34:00,314.21,314.45,314.21,314.45,1364
2024-06-18 14:33:00,314.68,314.68,314.195,314.195,3491
2024-06-18 14:32:00,314.805,314.805,314.805,314.805,258
2024-06-18 14:31:00,314.71,314.81,314.71,314.81,569
2024-06-18 14:30:00,314.705,314.755,314.59,314.755,1145
2024-06-18 14:29:00,314.99,314.99,314.785,314.785,354
2024-06-18 14:27:00,314.74,314.99,314.37,314.99,3372
2024-06-18 14:26:00,315.05,315.05,315.05,315.05,470
2024-06-18 14:25:00,314.93,314.93,314.93,314.93,537
2024-06-18 14:24:00,314.555,314.95,314.23,314.95,14710
2024-06-18 14:23:00,314.43,314.58,314.43,314.58,885
2024-06-18 14:22:00,315.01,315.02,314.49,314.49,10943
2024-06-18 14:21:00,314.61,314.97,314.61,314.97,2382
2024-06-18 14:20:00,314.43,314.7,314.43,314.7,608
2024-06-18 14:19:00,314.79,314.79,314.79,314.79,459
